RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL ROUNDS,COURSE
1,11,33448,Justin Thomas,67.821,263,8.285,4,Medinah Country Club
2,10,35450,Patrick Cantlay,68.571,266,8.285,4,Medinah Country Club
3,27,32839,Hideki Matsuyama,69.071,268,8.285,4,Medinah Country Club
4,26,29725,Tony Finau,69.571,270,8.285,4,Medinah Country Club
5,-2,46970,Jon Rahm,70.071,272,8.285,4,Medinah Country Club
5,1,27649,Brandt Snedeker,70.071,272,8.285,4,Medinah Country Club
7,14,39997,Corey Conners,70.321,273,8.285,4,Medinah Country Club
7,36,25900,Lucas Glover,70.321,273,8.285,4,Medinah Country Club
9,3,29478,Kevin Kisner,70.571,274,8.285,4,Medinah Country Club
9,-4,24502,Adam Scott,70.571,274,8.285,4,Medinah Country Club
11,32,30911,Tommy Fleetwood,70.821,275,8.285,4,Medinah Country Club
11,0,32102,Rickie Fowler,70.821,275,8.285,4,Medinah Country Club
11,27,39971,Sungjae Im,70.821,275,8.285,4,Medinah Country Club
11,-5,26329,Louis Oosthuizen,70.821,275,8.285,4,Medinah Country Club
11,13,32333,Kevin Tway,70.821,275,8.285,4,Medinah Country Club
16,43,49771,J.T. Poston,71.071,276,8.285,4,Medinah Country Club
16,27,23621,Rory Sabbatini,71.071,276,8.285,4,Medinah Country Club
16,14,23325,Vaughn Taylor,71.071,276,8.285,4,Medinah Country Club
19,-7,30944,Jason Kokrak,71.321,277,8.285,4,Medinah Country Club
19,0,26851,Marc Leishman,71.321,277,8.285,4,Medinah Country Club
19,-13,28237,Rory McIlroy,71.321,277,8.285,4,Medinah Country Club
19,-18,34360,Patrick Reed,71.321,277,8.285,4,Medinah Country Club
19,0,48081,Xander Schauffele,71.321,277,8.285,4,Medinah Country Club
24,0,25364,Paul Casey,71.571,278,8.285,4,Medinah Country Club
24,43,34076,Joel Dahmen,71.571,278,8.285,4,Medinah Country Club
24,6,36689,Brooks Koepka,71.571,278,8.285,4,Medinah Country Club
24,-6,29221,Webb Simpson,71.571,278,8.285,4,Medinah Country Club
28,10,33948,Byeong Hun An,71.821,279,8.285,4,Medinah Country Club
28,-26,45526,Abraham Ancer,71.821,279,8.285,4,Medinah Country Club
28,56,37455,Si Woo Kim,71.821,279,8.285,4,Medinah Country Club
31,-13,51766,Wyndham Clark,72.071,280,8.285,4,Medinah Country Club
31,0,31646,Emiliano Grillo,72.071,280,8.285,4,Medinah Country Club
31,-1,45486,Joaquin Niemann,72.071,280,8.285,4,Medinah Country Club
31,-7,29908,C.T. Pan,72.071,280,8.285,4,Medinah Country Club
31,-21,24138,Ian Poulter,72.071,280,8.285,4,Medinah Country Club
31,21,31323,Gary Woodland,72.071,280,8.285,4,Medinah Country Club
37,-16,29420,Billy Horschel,72.321,281,8.285,4,Medinah Country Club
37,0,21961,Charles Howell III,72.321,281,8.285,4,Medinah Country Club
37,-19,26596,Ryan Moore,72.321,281,8.285,4,Medinah Country Club
37,30,25818,Scott Piercy,72.321,281,8.285,4,Medinah Country Club
37,-31,34046,Jordan Spieth,72.321,281,8.285,4,Medinah Country Club
37,0,8793,Tiger Woods,72.321,281,8.285,4,Medinah Country Club
43,21,33141,Keegan Bradley,72.571,282,8.285,4,Medinah Country Club
43,0,33399,Adam Hadwin,72.571,282,8.285,4,Medinah Country Club
43,-31,32640,Troy Merritt,72.571,282,8.285,4,Medinah Country Club
43,34,23320,Ryan Palmer,72.571,282,8.285,4,Medinah Country Club
43,-31,34256,Andrew Putnam,72.571,282,8.285,4,Medinah Country Club
48,-24,47959,Bryson DeChambeau,72.821,283,8.285,4,Medinah Country Club
48,4,33204,Shane Lowry,72.821,283,8.285,4,Medinah Country Club
48,23,1810,Phil Mickelson,72.821,283,8.285,4,Medinah Country Club
48,4,50525,Collin Morikawa,72.821,283,8.285,4,Medinah Country Club
52,0,28089,Jason Day,73.071,284,8.285,4,Medinah Country Club
52,-9,29970,Dylan Frittelli,73.071,284,8.285,4,Medinah Country Club
52,0,23108,Matt Kuchar,73.071,284,8.285,4,Medinah Country Club
52,12,39546,Keith Mitchell,73.071,284,8.285,4,Medinah Country Club
52,-42,22405,Justin Rose,73.071,284,8.285,4,Medinah Country Club
57,-5,10809,Jim Furyk,73.321,285,8.285,4,Medinah Country Club
57,-33,30925,Dustin Johnson,73.321,285,8.285,4,Medinah Country Club
57,0,25572,Graeme McDowell,73.321,285,8.285,4,Medinah Country Club
57,-19,26476,Chez Reavie,73.321,285,8.285,4,Medinah Country Club
61,-23,39977,Max Homa,73.571,286,8.285,4,Medinah Country Club
61,21,25198,Francesco Molinari,73.571,286,8.285,4,Medinah Country Club
63,0,26499,Rafa Cabrera Bello,73.821,287,8.285,4,Medinah Country Club
63,0,27974,Sung Kang,73.821,287,8.285,4,Medinah Country Club
65,-44,52372,Cameron Champ,74.071,288,8.285,4,Medinah Country Club
65,-13,27141,J.B. Holmes,74.071,288,8.285,4,Medinah Country Club
65,0,35449,Adam Long,74.071,288,8.285,4,Medinah Country Club
68,-65,37189,Harold Varner III,74.321,289,8.285,4,Medinah Country Club
69,0,28775,Nate Lashley,74.821,291,8.285,4,Medinah Country Club
