RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL ROUNDS,COURSE
1,0,29420,Billy Horschel,66.993,269,-1.029,4,East Lake
2,2,10809,Jim Furyk,67.743,272,-1.029,4,East Lake
2,6,28237,Rory McIlroy,67.743,272,-1.029,4,East Lake
4,0,28089,Jason Day,67.993,273,-1.029,4,East Lake
4,32,30926,Chris Kirk,67.993,273,-1.029,4,East Lake
4,31,22405,Justin Rose,67.993,273,-1.029,4,East Lake
7,-3,23320,Ryan Palmer,68.243,274,-1.029,4,East Lake
8,-4,32102,Rickie Fowler,68.493,275,-1.029,4,East Lake
9,-5,21209,Sergio Garcia,68.743,276,-1.029,4,East Lake
9,-1,24502,Adam Scott,68.743,276,-1.029,4,East Lake
9,14,31323,Gary Woodland,68.743,276,-1.029,4,East Lake
12,47,34098,Russell Henley,68.993,277,-1.029,4,East Lake
13,33,23108,Matt Kuchar,69.243,278,-1.029,4,East Lake
14,-12,25804,Bubba Watson,69.743,280,-1.029,4,East Lake
15,16,33419,Cameron Tringale,69.993,281,-1.029,4,East Lake
16,0,24924,Bill Haas,70.243,282,-1.029,4,East Lake
17,19,30927,Brendon Todd,70.493,283,-1.029,4,East Lake
17,3,25632,Jimmy Walker,70.493,283,-1.029,4,East Lake
19,27,25396,Kevin Na,70.743,284,-1.029,4,East Lake
19,34,34360,Patrick Reed,70.743,284,-1.029,4,East Lake
21,22,24024,Zach Johnson,70.993,285,-1.029,4,East Lake
22,-2,32839,Hideki Matsuyama,71.243,286,-1.029,4,East Lake
23,-7,27408,Martin Kaymer,71.743,288,-1.029,4,East Lake
23,36,24781,Hunter Mahan,71.743,288,-1.029,4,East Lake
23,30,29221,Webb Simpson,71.743,288,-1.029,4,East Lake
26,-3,20645,John Senden,72.243,290,-1.029,4,East Lake
27,-24,33461,Morgan Hoffmann,72.743,292,-1.029,4,East Lake
27,-19,34046,Jordan Spieth,72.743,292,-1.029,4,East Lake
29,7,22046,Geoff Ogilvy,74.743,300,-1.029,4,East Lake
