RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL ROUNDS,COURSE
1,7,30925,Dustin Johnson,67.424,265,4.696,4,Crooked Stick Golf Club
2,0,25364,Paul Casey,68.174,268,4.696,4,Crooked Stick Golf Club
3,21,32200,Roberto Castro,68.924,271,4.696,4,Crooked Stick Golf Club
4,29,27141,J.B. Holmes,70.174,276,4.696,4,Crooked Stick Golf Club
4,42,23108,Matt Kuchar,70.174,276,4.696,4,Crooked Stick Golf Club
4,20,23320,Ryan Palmer,70.174,276,4.696,4,Crooked Stick Golf Club
4,66,26331,Charl Schwartzel,70.174,276,4.696,4,Crooked Stick Golf Club
4,0,24502,Adam Scott,70.174,276,4.696,4,Crooked Stick Golf Club
9,12,34046,Jordan Spieth,70.424,277,4.696,4,Crooked Stick Golf Club
10,31,40026,Daniel Berger,70.674,278,4.696,4,Crooked Stick Golf Club
10,0,29420,Billy Horschel,70.674,278,4.696,4,Crooked Stick Golf Club
10,23,30926,Chris Kirk,70.674,278,4.696,4,Crooked Stick Golf Club
13,11,27644,Brian Harman,70.924,279,4.696,4,Crooked Stick Golf Club
13,-8,34360,Patrick Reed,70.924,279,4.696,4,Crooked Stick Golf Club
13,33,27649,Brandt Snedeker,70.924,279,4.696,4,Crooked Stick Golf Club
13,-10,25632,Jimmy Walker,70.924,279,4.696,4,Crooked Stick Golf Club
17,-2,33122,Russell Knox,71.174,280,4.696,4,Crooked Stick Golf Club
17,-9,30944,Jason Kokrak,71.174,280,4.696,4,Crooked Stick Golf Club
17,-9,26329,Louis Oosthuizen,71.174,280,4.696,4,Crooked Stick Golf Club
20,-5,37455,Si Woo Kim,71.424,281,4.696,4,Crooked Stick Golf Club
20,0,31202,William McGirt,71.424,281,4.696,4,Crooked Stick Golf Club
20,0,25396,Kevin Na,71.424,281,4.696,4,Crooked Stick Golf Club
20,0,25804,Bubba Watson,71.424,281,4.696,4,Crooked Stick Golf Club
24,-19,32448,James Hahn,71.674,282,4.696,4,Crooked Stick Golf Club
24,9,31557,Jim Herman,71.674,282,4.696,4,Crooked Stick Golf Club
24,-9,32839,Hideki Matsuyama,71.674,282,4.696,4,Crooked Stick Golf Club
24,0,1810,Phil Mickelson,71.674,282,4.696,4,Crooked Stick Golf Club
24,29,25818,Scott Piercy,71.674,282,4.696,4,Crooked Stick Golf Club
24,33,22405,Justin Rose,71.674,282,4.696,4,Crooked Stick Golf Club
24,9,27064,Jhonattan Vegas,71.674,282,4.696,4,Crooked Stick Golf Club
24,-9,31323,Gary Woodland,71.674,282,4.696,4,Crooked Stick Golf Club
32,9,29974,Branden Grace,71.924,283,4.696,4,Crooked Stick Golf Club
32,1,31646,Emiliano Grillo,71.924,283,4.696,4,Crooked Stick Golf Club
32,35,24924,Bill Haas,71.924,283,4.696,4,Crooked Stick Golf Club
32,-24,26758,David Hearn,71.924,283,4.696,4,Crooked Stick Golf Club
32,25,36689,Brooks Koepka,71.924,283,4.696,4,Crooked Stick Golf Club
32,39,29461,Jamie Lovemark,71.924,283,4.696,4,Crooked Stick Golf Club
32,0,33448,Justin Thomas,71.924,283,4.696,4,Crooked Stick Golf Club
39,26,23983,Luke Donald,72.174,284,4.696,4,Crooked Stick Golf Club
39,7,29478,Kevin Kisner,72.174,284,4.696,4,Crooked Stick Golf Club
39,18,27214,Kevin Streelman,72.174,284,4.696,4,Crooked Stick Golf Club
42,-34,29222,Billy Hurley III,72.424,285,4.696,4,Crooked Stick Golf Club
42,15,24024,Zach Johnson,72.424,285,4.696,4,Crooked Stick Golf Club
42,0,25572,Graeme McDowell,72.424,285,4.696,4,Crooked Stick Golf Club
42,-41,28237,Rory McIlroy,72.424,285,4.696,4,Crooked Stick Golf Club
42,-18,23325,Vaughn Taylor,72.424,285,4.696,4,Crooked Stick Golf Club
47,20,34262,Jon Curran,72.674,286,4.696,4,Crooked Stick Golf Club
47,-6,34099,Harris English,72.674,286,4.696,4,Crooked Stick Golf Club
47,-23,21209,Sergio Garcia,72.674,286,4.696,4,Crooked Stick Golf Club
47,-42,28679,Fabián Gómez,72.674,286,4.696,4,Crooked Stick Golf Club
47,-23,21961,Charles Howell III,72.674,286,4.696,4,Crooked Stick Golf Club
52,0,12716,Charley Hoffman,72.924,287,4.696,4,Crooked Stick Golf Club
52,-6,26851,Marc Leishman,72.924,287,4.696,4,Crooked Stick Golf Club
52,1,24140,Sean O'Hair,72.924,287,4.696,4,Crooked Stick Golf Club
52,-11,29476,Kyle Reifers,72.924,287,4.696,4,Crooked Stick Golf Club
56,-32,46440,Smylie Kaufman,73.174,288,4.696,4,Crooked Stick Golf Club
56,-35,31560,Brian Stuard,73.174,288,4.696,4,Crooked Stick Golf Club
56,-41,34264,Hudson Swafford,73.174,288,4.696,4,Crooked Stick Golf Club
59,-13,32102,Rickie Fowler,73.424,289,4.696,4,Crooked Stick Golf Club
60,-27,25686,Jason Dufner,73.674,290,4.696,4,Crooked Stick Golf Club
61,6,22371,Aaron Baddeley,74.174,292,4.696,4,Crooked Stick Golf Club
61,-53,32366,Kevin Chappell,74.174,292,4.696,4,Crooked Stick Golf Club
61,2,34409,David Lingmerth,74.174,292,4.696,4,Crooked Stick Golf Club
64,-56,26596,Ryan Moore,74.674,294,4.696,4,Crooked Stick Golf Club
64,8,29518,Brendan Steele,74.674,294,4.696,4,Crooked Stick Golf Club
66,-42,29725,Tony Finau,75.174,296,4.696,4,Crooked Stick Golf Club
66,0,33413,Ben Martin,75.174,296,4.696,4,Crooked Stick Golf Club
68,0,25834,Daniel Summerhays,76.174,300,4.696,4,Crooked Stick Golf Club
