RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL ROUNDS,COURSE
1,24,48081,Xander Schauffele,67.333,265,4.331,4,East Lake
2,18,46046,Scottie Scheffler,68.083,268,4.331,4,East Lake
3,-2,30925,Dustin Johnson,68.333,269,4.331,4,East Lake
3,22,33448,Justin Thomas,68.333,269,4.331,4,East Lake
5,11,34363,Tyrrell Hatton,68.583,270,4.331,4,East Lake
6,-5,46970,Jon Rahm,68.833,271,4.331,4,East Lake
7,3,35506,Mackenzie Hughes,69.083,272,4.331,4,East Lake
7,5,28237,Rory McIlroy,69.083,272,4.331,4,East Lake
7,13,50525,Collin Morikawa,69.083,272,4.331,4,East Lake
7,1,48822,Sebastián Muñoz,69.083,272,4.331,4,East Lake
7,33,34360,Patrick Reed,69.083,272,4.331,4,East Lake
12,44,39971,Sungjae Im,69.583,274,4.331,4,East Lake
13,27,34099,Harris English,69.833,275,4.331,4,East Lake
14,19,45526,Abraham Ancer,70.083,276,4.331,4,East Lake
14,-9,29725,Tony Finau,70.083,276,4.331,4,East Lake
14,26,46717,Viktor Hovland,70.083,276,4.331,4,East Lake
17,8,40026,Daniel Berger,70.333,277,4.331,4,East Lake
17,-7,35310,Lanto Griffin,70.333,277,4.331,4,East Lake
17,-14,32839,Hideki Matsuyama,70.333,277,4.331,4,East Lake
17,0,29221,Webb Simpson,70.333,277,4.331,4,East Lake
21,-13,30927,Brendon Todd,70.833,279,4.331,4,East Lake
22,43,52372,Cameron Champ,71.083,280,4.331,4,East Lake
22,3,29478,Kevin Kisner,71.083,280,4.331,4,East Lake
22,-2,35891,Cameron Smith,71.083,280,4.331,4,East Lake
25,25,47959,Bryson DeChambeau,71.333,281,4.331,4,East Lake
25,15,23320,Ryan Palmer,71.333,281,4.331,4,East Lake
27,24,25396,Kevin Na,71.583,282,4.331,4,East Lake
28,41,26851,Marc Leishman,71.833,283,4.331,4,East Lake
28,-25,45486,Joaquin Niemann,71.833,283,4.331,4,East Lake
30,3,29420,Billy Horschel,72.083,284,4.331,4,East Lake
