RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL ROUNDS,COURSE
1,10,35450,Patrick Cantlay,68.047,261,11.189,4,Caves Valley Golf Club
1,30,47959,Bryson DeChambeau,68.047,261,11.189,4,Caves Valley Golf Club
3,13,39971,Sungjae Im,69.047,265,11.189,4,Caves Valley Golf Club
4,39,28237,Rory McIlroy,69.297,266,11.189,4,Caves Valley Golf Club
5,2,40006,Erik van Rooyen,69.547,267,11.189,4,Caves Valley Golf Club
6,0,21209,Sergio Garcia,69.797,268,11.189,4,Caves Valley Golf Club
6,0,30925,Dustin Johnson,69.797,268,11.189,4,Caves Valley Golf Club
8,13,47504,Sam Burns,70.047,269,11.189,4,Caves Valley Golf Club
9,55,45526,Abraham Ancer,70.297,270,11.189,4,Caves Valley Golf Club
9,-5,27349,Alex Noren,70.297,270,11.189,4,Caves Valley Golf Club
9,-6,46970,Jon Rahm,70.297,270,11.189,4,Caves Valley Golf Club
12,35,32791,K.H. Lee,70.547,271,11.189,4,Caves Valley Golf Club
12,35,29221,Webb Simpson,70.547,271,11.189,4,Caves Valley Golf Club
12,-1,37189,Harold Varner III,70.547,271,11.189,4,Caves Valley Golf Club
15,-14,29725,Tony Finau,70.797,272,11.189,4,Caves Valley Golf Club
15,0,30944,Jason Kokrak,70.797,272,11.189,4,Caves Valley Golf Club
17,26,46717,Viktor Hovland,71.047,273,11.189,4,Caves Valley Golf Club
17,-9,25396,Kevin Na,71.047,273,11.189,4,Caves Valley Golf Club
17,0,26331,Charl Schwartzel,71.047,273,11.189,4,Caves Valley Golf Club
17,-6,34264,Hudson Swafford,71.047,273,11.189,4,Caves Valley Golf Club
17,4,49964,Aaron Wise,71.047,273,11.189,4,Caves Valley Golf Club
22,-14,39997,Corey Conners,71.297,274,11.189,4,Caves Valley Golf Club
22,9,36689,Brooks Koepka,71.297,274,11.189,4,Caves Valley Golf Club
22,21,46046,Scottie Scheffler,71.297,274,11.189,4,Caves Valley Golf Club
22,-18,33448,Justin Thomas,71.297,274,11.189,4,Caves Valley Golf Club
26,30,40026,Daniel Berger,71.547,275,11.189,4,Caves Valley Golf Club
26,5,34099,Harris English,71.547,275,11.189,4,Caves Valley Golf Club
26,-15,33204,Shane Lowry,71.547,275,11.189,4,Caves Valley Golf Club
29,2,45157,Cam Davis,71.797,276,11.189,4,Caves Valley Golf Club
29,46,27644,Brian Harman,71.797,276,11.189,4,Caves Valley Golf Club
29,0,37455,Si Woo Kim,71.797,276,11.189,4,Caves Valley Golf Club
29,-8,48822,Sebastián Muñoz,71.797,276,11.189,4,Caves Valley Golf Club
29,18,45486,Joaquin Niemann,71.797,276,11.189,4,Caves Valley Golf Club
34,22,32757,Patton Kizzire,72.047,277,11.189,4,Caves Valley Golf Club
34,-33,35891,Cameron Smith,72.047,277,11.189,4,Caves Valley Golf Club
34,39,34046,Jordan Spieth,72.047,277,11.189,4,Caves Valley Golf Club
34,-7,20396,Lee Westwood,72.047,277,11.189,4,Caves Valley Golf Club
38,26,25364,Paul Casey,72.297,278,11.189,4,Caves Valley Golf Club
38,-17,20229,Stewart Cink,72.297,278,11.189,4,Caves Valley Golf Club
38,0,25900,Lucas Glover,72.297,278,11.189,4,Caves Valley Golf Club
38,-22,33597,Harry Higgs,72.297,278,11.189,4,Caves Valley Golf Club
38,-17,12716,Charley Hoffman,72.297,278,11.189,4,Caves Valley Golf Club
38,0,26300,Matt Jones,72.297,278,11.189,4,Caves Valley Golf Club
38,0,26329,Louis Oosthuizen,72.297,278,11.189,4,Caves Valley Golf Club
38,0,27064,Jhonattan Vegas,72.297,278,11.189,4,Caves Valley Golf Club
46,0,31646,Emiliano Grillo,72.547,279,11.189,4,Caves Valley Golf Club
46,-3,32839,Hideki Matsuyama,72.547,279,11.189,4,Caves Valley Golf Club
48,8,30926,Chris Kirk,72.797,280,11.189,4,Caves Valley Golf Club
49,-45,35532,Tom Hoge,73.047,281,11.189,4,Caves Valley Golf Club
49,-33,48081,Xander Schauffele,73.047,281,11.189,4,Caves Valley Golf Club
51,-4,26851,Marc Leishman,73.297,282,11.189,4,Caves Valley Golf Club
52,0,29974,Branden Grace,73.547,283,11.189,4,Caves Valley Golf Club
52,-21,29420,Billy Horschel,73.547,283,11.189,4,Caves Valley Golf Club
52,-25,35506,Mackenzie Hughes,73.547,283,11.189,4,Caves Valley Golf Club
52,12,27214,Kevin Streelman,73.547,283,11.189,4,Caves Valley Golf Club
52,-31,33419,Cameron Tringale,73.547,283,11.189,4,Caves Valley Golf Club
57,-26,46402,Talor Gooch,73.797,284,11.189,4,Caves Valley Golf Club
57,-49,39546,Keith Mitchell,73.797,284,11.189,4,Caves Valley Golf Club
57,0,23320,Ryan Palmer,73.797,284,11.189,4,Caves Valley Golf Club
60,-49,33141,Keegan Bradley,74.047,285,11.189,4,Caves Valley Golf Club
60,-4,34098,Russell Henley,74.047,285,11.189,4,Caves Valley Golf Club
60,-44,34431,Robert Streb,74.047,285,11.189,4,Caves Valley Golf Club
63,-16,39977,Max Homa,74.297,286,11.189,4,Caves Valley Golf Club
63,-36,46442,Maverick McNealy,74.297,286,11.189,4,Caves Valley Golf Club
