RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL ROUNDS,COURSE
1,0,32366,Kevin Chappell,67.396,268,1.585,4,East Lake
1,0,28237,Rory McIlroy,67.396,268,1.585,4,East Lake
1,0,26596,Ryan Moore,67.396,268,1.585,4,East Lake
4,0,25364,Paul Casey,68.146,271,1.585,4,East Lake
5,0,32839,Hideki Matsuyama,68.896,274,1.585,4,East Lake
6,0,30925,Dustin Johnson,69.146,275,1.585,4,East Lake
6,0,33448,Justin Thomas,69.146,275,1.585,4,East Lake
8,0,25686,Jason Dufner,69.396,276,1.585,4,East Lake
8,0,24502,Adam Scott,69.396,276,1.585,4,East Lake
10,0,31646,Emiliano Grillo,69.896,278,1.585,4,East Lake
10,0,37455,Si Woo Kim,69.896,278,1.585,4,East Lake
10,0,26331,Charl Schwartzel,69.896,278,1.585,4,East Lake
10,0,25804,Bubba Watson,69.896,278,1.585,4,East Lake
10,0,31323,Gary Woodland,69.896,278,1.585,4,East Lake
15,0,40026,Daniel Berger,70.146,279,1.585,4,East Lake
15,0,23108,Matt Kuchar,70.146,279,1.585,4,East Lake
17,0,32200,Roberto Castro,70.396,280,1.585,4,East Lake
17,0,31202,William McGirt,70.396,280,1.585,4,East Lake
17,0,24140,Sean O'Hair,70.396,280,1.585,4,East Lake
17,0,27649,Brandt Snedeker,70.396,280,1.585,4,East Lake
17,0,34046,Jordan Spieth,70.396,280,1.585,4,East Lake
22,0,1810,Phil Mickelson,70.646,281,1.585,4,East Lake
23,0,33122,Russell Knox,70.896,282,1.585,4,East Lake
24,0,34360,Patrick Reed,71.146,283,1.585,4,East Lake
24,0,27064,Jhonattan Vegas,71.146,283,1.585,4,East Lake
26,0,29478,Kevin Kisner,71.396,284,1.585,4,East Lake
27,0,27141,J.B. Holmes,71.896,286,1.585,4,East Lake
28,0,25632,Jimmy Walker,72.146,287,1.585,4,East Lake
29,0,25396,Kevin Na,73.646,293,1.585,4,East Lake
