RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL ROUNDS,COURSE
1,7,28237,Rory McIlroy,67.845,263,8.379,4,East Lake
2,13,39971,Sungjae Im,68.095,264,8.379,4,East Lake
3,20,39977,Max Homa,68.345,265,8.379,4,East Lake
4,48,33448,Justin Thomas,68.595,266,8.379,4,East Lake
5,43,35532,Tom Hoge,68.845,267,8.379,4,East Lake
6,-3,48081,Xander Schauffele,69.095,268,8.379,4,East Lake
6,22,49960,Sepp Straka,69.095,268,8.379,4,East Lake
6,9,49964,Aaron Wise,69.095,268,8.379,4,East Lake
9,19,29725,Tony Finau,69.345,269,8.379,4,East Lake
9,26,32839,Hideki Matsuyama,69.345,269,8.379,4,East Lake
9,-1,45486,Joaquin Niemann,69.345,269,8.379,4,East Lake
9,26,49771,J.T. Poston,69.345,269,8.379,4,East Lake
13,-10,46046,Scottie Scheffler,69.595,270,8.379,4,East Lake
13,6,34046,Jordan Spieth,69.595,270,8.379,4,East Lake
15,20,46717,Viktor Hovland,69.845,271,8.379,4,East Lake
16,-15,35450,Patrick Cantlay,70.095,272,8.379,4,East Lake
16,32,40098,Matt Fitzpatrick,70.095,272,8.379,4,East Lake
16,-8,46970,Jon Rahm,70.095,272,8.379,4,East Lake
19,16,27644,Brian Harman,70.345,273,8.379,4,East Lake
19,16,29420,Billy Horschel,70.345,273,8.379,4,East Lake
19,25,50525,Collin Morikawa,70.345,273,8.379,4,East Lake
19,4,57366,Cameron Young,70.345,273,8.379,4,East Lake
23,0,35891,Cameron Smith,70.845,275,8.379,4,East Lake
24,-19,24502,Adam Scott,71.095,276,8.379,4,East Lake
25,-6,47504,Sam Burns,71.595,278,8.379,4,East Lake
25,-20,39997,Corey Conners,71.595,278,8.379,4,East Lake
27,-22,32791,K.H. Lee,71.845,279,8.379,4,East Lake
28,-13,51634,Sahith Theegala,72.345,281,8.379,4,East Lake
29,-27,30692,Scott Stallings,73.595,286,8.379,4,East Lake
