RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL ROUNDS,COURSE
1,18,28237,Rory McIlroy,66.717,267,-0.131,4,East Lake
2,17,48081,Xander Schauffele,67.467,270,-0.131,4,East Lake
3,21,25364,Paul Casey,68.217,273,-0.131,4,East Lake
4,20,36689,Brooks Koepka,68.467,274,-0.131,4,East Lake
5,52,26476,Chez Reavie,68.717,275,-0.131,4,East Lake
5,4,24502,Adam Scott,68.717,275,-0.131,4,East Lake
7,41,47959,Bryson DeChambeau,68.967,276,-0.131,4,East Lake
7,-3,29725,Tony Finau,68.967,276,-0.131,4,East Lake
9,0,29478,Kevin Kisner,69.217,277,-0.131,4,East Lake
9,10,30944,Jason Kokrak,69.217,277,-0.131,4,East Lake
9,-8,33448,Justin Thomas,69.217,277,-0.131,4,East Lake
12,-9,32839,Hideki Matsuyama,69.467,278,-0.131,4,East Lake
13,-2,30911,Tommy Fleetwood,69.967,280,-0.131,4,East Lake
13,-8,46970,Jon Rahm,69.967,280,-0.131,4,East Lake
15,-4,39971,Sungjae Im,70.217,281,-0.131,4,East Lake
15,-4,26329,Louis Oosthuizen,70.217,281,-0.131,4,East Lake
15,4,34360,Patrick Reed,70.217,281,-0.131,4,East Lake
15,16,31323,Gary Woodland,70.217,281,-0.131,4,East Lake
19,-8,32102,Rickie Fowler,70.467,282,-0.131,4,East Lake
20,32,23108,Matt Kuchar,70.717,283,-0.131,4,East Lake
20,-1,26851,Marc Leishman,70.717,283,-0.131,4,East Lake
20,4,29221,Webb Simpson,70.717,283,-0.131,4,East Lake
23,-16,39997,Corey Conners,70.967,284,-0.131,4,East Lake
23,14,21961,Charles Howell III,70.967,284,-0.131,4,East Lake
23,-18,27649,Brandt Snedeker,70.967,284,-0.131,4,East Lake
26,2,45526,Abraham Ancer,71.217,285,-0.131,4,East Lake
26,26,22405,Justin Rose,71.217,285,-0.131,4,East Lake
28,-26,35450,Patrick Cantlay,72.217,289,-0.131,4,East Lake
29,-22,25900,Lucas Glover,72.467,290,-0.131,4,East Lake
30,27,30925,Dustin Johnson,73.217,293,-0.131,4,East Lake
