RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL ROUNDS,COURSE
1,56,35450,Patrick Cantlay,68.250,270,3.000,4,Wilmington Country Club
2,0,30692,Scott Stallings,68.500,271,3.000,4,Wilmington Country Club
3,54,48081,Xander Schauffele,69.000,273,3.000,4,Wilmington Country Club
3,0,46046,Scottie Scheffler,69.000,273,3.000,4,Wilmington Country Club
5,23,39997,Corey Conners,69.250,274,3.000,4,Wilmington Country Club
5,15,32791,K.H. Lee,69.250,274,3.000,4,Wilmington Country Club
5,0,24502,Adam Scott,69.250,274,3.000,4,Wilmington Country Club
8,0,28237,Rory McIlroy,69.500,275,3.000,4,Wilmington Country Club
8,5,45486,Joaquin Niemann,69.500,275,3.000,4,Wilmington Country Club
8,60,40250,Taylor Pendrith,69.500,275,3.000,4,Wilmington Country Club
8,-3,46970,Jon Rahm,69.500,275,3.000,4,Wilmington Country Club
12,52,45522,Christiaan Bezuidenhout,69.750,276,3.000,4,Wilmington Country Club
12,34,33204,Shane Lowry,69.750,276,3.000,4,Wilmington Country Club
12,-7,46601,Trey Mullinax,69.750,276,3.000,4,Wilmington Country Club
15,0,39058,Lucas Herbert,70.000,277,3.000,4,Wilmington Country Club
15,-3,39971,Sungjae Im,70.000,277,3.000,4,Wilmington Country Club
15,-2,51634,Sahith Theegala,70.000,277,3.000,4,Wilmington Country Club
15,16,49964,Aaron Wise,70.000,277,3.000,4,Wilmington Country Club
19,1,47504,Sam Burns,70.250,278,3.000,4,Wilmington Country Club
19,12,31646,Emiliano Grillo,70.250,278,3.000,4,Wilmington Country Club
19,0,48117,Kurt Kitayama,70.250,278,3.000,4,Wilmington Country Club
19,0,34046,Jordan Spieth,70.250,278,3.000,4,Wilmington Country Club
23,8,34363,Tyrrell Hatton,70.500,279,3.000,4,Wilmington Country Club
23,19,39977,Max Homa,70.500,279,3.000,4,Wilmington Country Club
23,-18,34256,Andrew Putnam,70.500,279,3.000,4,Wilmington Country Club
23,19,39324,J.J. Spaun,70.500,279,3.000,4,Wilmington Country Club
23,8,57366,Cameron Young,70.500,279,3.000,4,Wilmington Country Club
28,-23,29725,Tony Finau,70.750,280,3.000,4,Wilmington Country Club
28,36,26851,Marc Leishman,70.750,280,3.000,4,Wilmington Country Club
28,-8,47993,Denny McCarthy,70.750,280,3.000,4,Wilmington Country Club
28,-27,49960,Sepp Straka,70.750,280,3.000,4,Wilmington Country Club
32,-1,46442,Maverick McNealy,71.000,281,3.000,4,Wilmington Country Club
32,-1,39546,Keith Mitchell,71.000,281,3.000,4,Wilmington Country Club
32,0,29518,Brendan Steele,71.000,281,3.000,4,Wilmington Country Club
35,-22,45157,Cam Davis,71.250,282,3.000,4,Wilmington Country Club
35,-32,27644,Brian Harman,71.250,282,3.000,4,Wilmington Country Club
35,0,34098,Russell Henley,71.250,282,3.000,4,Wilmington Country Club
35,0,29420,Billy Horschel,71.250,282,3.000,4,Wilmington Country Club
35,-15,46717,Viktor Hovland,71.250,282,3.000,4,Wilmington Country Club
35,0,23108,Matt Kuchar,71.250,282,3.000,4,Wilmington Country Club
35,0,32839,Hideki Matsuyama,71.250,282,3.000,4,Wilmington Country Club
35,11,48822,Sebastián Muñoz,71.250,282,3.000,4,Wilmington Country Club
35,-15,49771,J.T. Poston,71.250,282,3.000,4,Wilmington Country Club
44,25,33399,Adam Hadwin,71.500,283,3.000,4,Wilmington Country Club
44,-13,49947,Taylor Moore,71.500,283,3.000,4,Wilmington Country Club
44,-39,50525,Collin Morikawa,71.500,283,3.000,4,Wilmington Country Club
44,0,46340,Alex Smalley,71.500,283,3.000,4,Wilmington Country Club
48,-43,40098,Matt Fitzpatrick,71.750,284,3.000,4,Wilmington Country Club
48,0,35532,Tom Hoge,71.750,284,3.000,4,Wilmington Country Club
48,-28,29478,Kevin Kisner,71.750,284,3.000,4,Wilmington Country Club
48,0,37189,Harold Varner III,71.750,284,3.000,4,Wilmington Country Club
52,0,27349,Alex Noren,72.000,285,3.000,4,Wilmington Country Club
52,-39,33448,Justin Thomas,72.000,285,3.000,4,Wilmington Country Club
54,-41,55182,Tom Kim,72.250,286,3.000,4,Wilmington Country Club
54,-12,47529,Mito Pereira,72.250,286,3.000,4,Wilmington Country Club
54,-3,26476,Chez Reavie,72.250,286,3.000,4,Wilmington Country Club
54,-23,47995,Davis Riley,72.250,286,3.000,4,Wilmington Country Club
58,0,33141,Keegan Bradley,72.500,287,3.000,4,Wilmington Country Club
58,-12,35506,Mackenzie Hughes,72.500,287,3.000,4,Wilmington Country Club
58,-30,32640,Troy Merritt,72.500,287,3.000,4,Wilmington Country Club
61,0,30926,Chris Kirk,72.750,288,3.000,4,Wilmington Country Club
61,0,27129,Luke List,72.750,288,3.000,4,Wilmington Country Club
63,0,33419,Cameron Tringale,73.000,289,3.000,4,Wilmington Country Club
64,-36,51766,Wyndham Clark,73.250,290,3.000,4,Wilmington Country Club
65,0,28252,Seamus Power,73.500,291,3.000,4,Wilmington Country Club
66,-63,25900,Lucas Glover,73.750,292,3.000,4,Wilmington Country Club
67,-25,37455,Si Woo Kim,74.250,294,3.000,4,Wilmington Country Club
