RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL ROUNDS,COURSE
1,0,46717,Viktor Hovland,66.492,261,4.969,4,East Lake
1,7,48081,Xander Schauffele,66.492,261,4.969,4,East Lake
3,12,51766,Wyndham Clark,68.242,268,4.969,4,East Lake
4,11,47504,Sam Burns,68.742,270,4.969,4,East Lake
4,21,50525,Collin Morikawa,68.742,270,4.969,4,East Lake
6,9,35450,Patrick Cantlay,68.992,271,4.969,4,East Lake
6,28,47347,Adam Schenk,68.992,271,4.969,4,East Lake
6,31,49960,Sepp Straka,68.992,271,4.969,4,East Lake
9,16,30911,Tommy Fleetwood,69.242,272,4.969,4,East Lake
9,25,34363,Tyrrell Hatton,69.242,272,4.969,4,East Lake
11,18,33141,Keegan Bradley,69.492,273,4.969,4,East Lake
11,-7,28237,Rory McIlroy,69.492,273,4.969,4,East Lake
13,-11,40098,Matt Fitzpatrick,69.742,274,4.969,4,East Lake
13,-5,34098,Russell Henley,69.742,274,4.969,4,East Lake
13,-8,39977,Max Homa,69.742,274,4.969,4,East Lake
16,9,32102,Rickie Fowler,69.992,275,4.969,4,East Lake
17,20,29725,Tony Finau,70.242,276,4.969,4,East Lake
17,14,37455,Si Woo Kim,70.242,276,4.969,4,East Lake
17,-7,55182,Tom Kim,70.242,276,4.969,4,East Lake
20,2,25900,Lucas Glover,70.742,278,4.969,4,East Lake
21,-14,39971,Sungjae Im,70.992,279,4.969,4,East Lake
21,10,46970,Jon Rahm,70.992,279,4.969,4,East Lake
21,-19,46046,Scottie Scheffler,70.992,279,4.969,4,East Lake
21,26,25493,Nick Taylor,70.992,279,4.969,4,East Lake
25,-20,27644,Brian Harman,71.242,280,4.969,4,East Lake
26,-16,39997,Corey Conners,71.492,281,4.969,4,East Lake
26,8,34046,Jordan Spieth,71.492,281,4.969,4,East Lake
28,17,28089,Jason Day,72.242,284,4.969,4,East Lake
29,2,31646,Emiliano Grillo,72.742,286,4.969,4,East Lake
30,19,49947,Taylor Moore,72.992,287,4.969,4,East Lake
