RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL ROUNDS,COURSE
1,19,48081,Xander Schauffele,67.617,268,2.466,4,East Lake
2,45,33448,Justin Thomas,67.867,269,2.466,4,East Lake
3,44,34098,Russell Henley,68.117,270,2.466,4,East Lake
3,64,29478,Kevin Kisner,68.117,270,2.466,4,East Lake
5,28,25364,Paul Casey,68.367,271,2.466,4,East Lake
6,6,36689,Brooks Koepka,68.617,272,2.466,4,East Lake
7,0,29725,Tony Finau,68.867,273,2.466,4,East Lake
7,-2,46970,Jon Rahm,68.867,273,2.466,4,East Lake
7,0,34046,Jordan Spieth,68.867,273,2.466,4,East Lake
10,2,21209,Sergio Garcia,69.117,274,2.466,4,East Lake
10,-5,23108,Matt Kuchar,69.117,274,2.466,4,East Lake
10,-8,22405,Justin Rose,69.117,274,2.466,4,East Lake
13,52,34360,Patrick Reed,69.367,275,2.466,4,East Lake
13,-4,29221,Webb Simpson,69.367,275,2.466,4,East Lake
15,18,40026,Daniel Berger,69.617,276,2.466,4,East Lake
16,-4,24361,Pat Perez,69.867,277,2.466,4,East Lake
17,-13,28089,Jason Day,70.117,278,2.466,4,East Lake
17,16,30925,Dustin Johnson,70.117,278,2.466,4,East Lake
19,8,31323,Gary Woodland,70.367,279,2.466,4,East Lake
20,-11,35450,Patrick Cantlay,70.617,280,2.466,4,East Lake
20,38,25686,Jason Dufner,70.617,280,2.466,4,East Lake
20,27,30110,Kyle Stanley,70.617,280,2.466,4,East Lake
23,17,33399,Adam Hadwin,70.867,281,2.466,4,East Lake
24,16,27644,Brian Harman,71.367,283,2.466,4,East Lake
24,-23,26851,Marc Leishman,71.367,283,2.466,4,East Lake
26,-24,32102,Rickie Fowler,72.117,286,2.466,4,East Lake
26,21,32839,Hideki Matsuyama,72.117,286,2.466,4,East Lake
28,-16,32366,Kevin Chappell,72.867,289,2.466,4,East Lake
28,-1,12716,Charley Hoffman,72.867,289,2.466,4,East Lake
30,33,27064,Jhonattan Vegas,73.117,290,2.466,4,East Lake
