RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL ROUNDS,COURSE
1,0,8793,Tiger Woods,67.632,269,1.529,4,East Lake
2,0,29420,Billy Horschel,68.132,271,1.529,4,East Lake
3,0,30925,Dustin Johnson,68.632,273,1.529,4,East Lake
4,0,32839,Hideki Matsuyama,68.882,274,1.529,4,East Lake
4,0,22405,Justin Rose,68.882,274,1.529,4,East Lake
4,0,29221,Webb Simpson,68.882,274,1.529,4,East Lake
7,0,32102,Rickie Fowler,69.132,275,1.529,4,East Lake
7,0,28237,Rory McIlroy,69.132,275,1.529,4,East Lake
7,0,48081,Xander Schauffele,69.132,275,1.529,4,East Lake
7,0,33448,Justin Thomas,69.132,275,1.529,4,East Lake
11,0,25364,Paul Casey,69.382,276,1.529,4,East Lake
11,0,30911,Tommy Fleetwood,69.382,276,1.529,4,East Lake
11,0,46970,Jon Rahm,69.382,276,1.529,4,East Lake
11,0,31323,Gary Woodland,69.382,276,1.529,4,East Lake
15,0,29725,Tony Finau,69.632,277,1.529,4,East Lake
15,0,30110,Kyle Stanley,69.632,277,1.529,4,East Lake
15,0,49964,Aaron Wise,69.632,277,1.529,4,East Lake
18,0,28089,Jason Day,69.882,278,1.529,4,East Lake
19,0,47959,Bryson DeChambeau,70.132,279,1.529,4,East Lake
20,0,35891,Cameron Smith,70.382,280,1.529,4,East Lake
21,0,35450,Patrick Cantlay,70.632,281,1.529,4,East Lake
21,0,32757,Patton Kizzire,70.632,281,1.529,4,East Lake
21,0,26851,Marc Leishman,70.632,281,1.529,4,East Lake
21,0,25198,Francesco Molinari,70.632,281,1.529,4,East Lake
25,0,25396,Kevin Na,71.132,283,1.529,4,East Lake
26,0,33141,Keegan Bradley,71.382,284,1.529,4,East Lake
26,0,36689,Brooks Koepka,71.382,284,1.529,4,East Lake
28,0,34360,Patrick Reed,72.632,289,1.529,4,East Lake
29,0,25804,Bubba Watson,72.882,290,1.529,4,East Lake
30,0,1810,Phil Mickelson,73.632,293,1.529,4,East Lake
