RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL HOLES
1,20,37455,Si Woo Kim,2.81,45,16
2,7,33141,Keegan Bradley,2.88,46,16
2,39,39977,Max Homa,2.88,46,16
2,28,46717,Viktor Hovland,2.88,46,16
5,8,47504,Sam Burns,2.94,47,16
5,25,51766,Wyndham Clark,2.94,47,16
5,-2,27644,Brian Harman,2.94,47,16
5,36,34363,Tyrrell Hatton,2.94,47,16
5,16,55182,Tom Kim,2.94,47,16
5,8,47347,Adam Schenk,2.94,47,16
11,2,39997,Corey Conners,3.00,48,16
11,-8,30911,Tommy Fleetwood,3.00,48,16
11,10,34098,Russell Henley,3.00,48,16
14,7,35450,Patrick Cantlay,3.06,49,16
14,27,28089,Jason Day,3.06,49,16
14,7,32102,Rickie Fowler,3.06,49,16
14,-11,28237,Rory McIlroy,3.06,49,16
18,-15,25900,Lucas Glover,3.13,50,16
18,3,31646,Emiliano Grillo,3.13,50,16
18,29,49947,Taylor Moore,3.13,50,16
18,-15,50525,Collin Morikawa,3.13,50,16
18,-5,48081,Xander Schauffele,3.13,50,16
18,12,34046,Jordan Spieth,3.13,50,16
24,-23,40098,Matt Fitzpatrick,3.19,51,16
24,6,25493,Nick Taylor,3.19,51,16
26,15,29725,Tony Finau,3.25,52,16
26,-13,39971,Sungjae Im,3.25,52,16
26,-5,46970,Jon Rahm,3.25,52,16
29,-20,46046,Scottie Scheffler,3.31,53,16
29,-20,49960,Sepp Straka,3.31,53,16
