RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL ROUNDS,COURSE
1,1,29420,Billy Horschel,66.676,266,0.703,4,Cherry Hills Country Club
2,27,25804,Bubba Watson,67.176,268,0.703,4,Cherry Hills Country Club
3,32,33461,Morgan Hoffmann,67.426,269,0.703,4,Cherry Hills Country Club
4,19,32102,Rickie Fowler,67.926,271,0.703,4,Cherry Hills Country Club
4,19,10809,Jim Furyk,67.926,271,0.703,4,Cherry Hills Country Club
4,0,21209,Sergio Garcia,67.926,271,0.703,4,Cherry Hills Country Club
4,12,23320,Ryan Palmer,67.926,271,0.703,4,Cherry Hills Country Club
8,-3,28237,Rory McIlroy,68.176,272,0.703,4,Cherry Hills Country Club
8,8,24502,Adam Scott,68.176,272,0.703,4,Cherry Hills Country Club
8,21,34046,Jordan Spieth,68.176,272,0.703,4,Cherry Hills Country Club
11,39,27436,Graham DeLaet,68.426,273,0.703,4,Cherry Hills Country Club
12,0,20848,Ángel Cabrera,68.676,274,0.703,4,Cherry Hills Country Club
12,-3,34563,Chesson Hadley,68.676,274,0.703,4,Cherry Hills Country Club
12,23,27141,J.B. Holmes,68.676,274,0.703,4,Cherry Hills Country Club
12,31,26331,Charl Schwartzel,68.676,274,0.703,4,Cherry Hills Country Club
16,34,32366,Kevin Chappell,68.926,275,0.703,4,Cherry Hills Country Club
16,34,6522,Ernie Els,68.926,275,0.703,4,Cherry Hills Country Club
16,-7,24924,Bill Haas,68.926,275,0.703,4,Cherry Hills Country Club
16,-9,27408,Martin Kaymer,68.926,275,0.703,4,Cherry Hills Country Club
20,37,32839,Hideki Matsuyama,69.176,276,0.703,4,Cherry Hills Country Club
20,30,27770,Camilo Villegas,69.176,276,0.703,4,Cherry Hills Country Club
20,-11,25632,Jimmy Walker,69.176,276,0.703,4,Cherry Hills Country Club
23,6,23541,Ben Crane,69.426,277,0.703,4,Cherry Hills Country Club
23,3,33122,Russell Knox,69.426,277,0.703,4,Cherry Hills Country Club
23,-14,29289,S.Y. Noh,69.426,277,0.703,4,Cherry Hills Country Club
23,-18,20645,John Senden,69.426,277,0.703,4,Cherry Hills Country Club
23,3,21528,Henrik Stenson,69.426,277,0.703,4,Cherry Hills Country Club
23,6,31323,Gary Woodland,69.426,277,0.703,4,Cherry Hills Country Club
29,28,8075,Jerry Kelly,69.676,278,0.703,4,Cherry Hills Country Club
29,28,25834,Daniel Summerhays,69.676,278,0.703,4,Cherry Hills Country Club
31,0,34099,Harris English,69.926,279,0.703,4,Cherry Hills Country Club
31,-2,24490,George McNeill,69.926,279,0.703,4,Cherry Hills Country Club
31,-22,25345,Carl Pettersson,69.926,279,0.703,4,Cherry Hills Country Club
31,38,33419,Cameron Tringale,69.926,279,0.703,4,Cherry Hills Country Club
35,0,22405,Justin Rose,70.176,280,0.703,4,Cherry Hills Country Club
36,0,23135,Tim Clark,70.426,281,0.703,4,Cherry Hills Country Club
36,-1,21961,Charles Howell III,70.426,281,0.703,4,Cherry Hills Country Club
36,-35,30926,Chris Kirk,70.426,281,0.703,4,Cherry Hills Country Club
36,0,25572,Graeme McDowell,70.426,281,0.703,4,Cherry Hills Country Club
36,-34,22046,Geoff Ogilvy,70.426,281,0.703,4,Cherry Hills Country Club
36,-20,31560,Brian Stuard,70.426,281,0.703,4,Cherry Hills Country Club
36,0,30927,Brendon Todd,70.426,281,0.703,4,Cherry Hills Country Club
43,22,27644,Brian Harman,70.676,282,0.703,4,Cherry Hills Country Club
43,-27,24024,Zach Johnson,70.676,282,0.703,4,Cherry Hills Country Club
43,2,27963,Chris Stroud,70.676,282,0.703,4,Cherry Hills Country Club
46,0,20098,Stuart Appleby,70.926,283,0.703,4,Cherry Hills Country Club
46,0,24494,Erik Compton,70.926,283,0.703,4,Cherry Hills Country Club
46,-17,23108,Matt Kuchar,70.926,283,0.703,4,Cherry Hills Country Club
46,0,25396,Kevin Na,70.926,283,0.703,4,Cherry Hills Country Club
50,0,28307,Matt Every,71.176,284,0.703,4,Cherry Hills Country Club
50,23,26596,Ryan Moore,71.176,284,0.703,4,Cherry Hills Country Club
50,-34,26679,Kevin Stadler,71.176,284,0.703,4,Cherry Hills Country Club
53,0,12716,Charley Hoffman,71.426,285,0.703,4,Cherry Hills Country Club
53,0,21731,Freddie Jacobson,71.426,285,0.703,4,Cherry Hills Country Club
53,0,26300,Matt Jones,71.426,285,0.703,4,Cherry Hills Country Club
53,12,26851,Marc Leishman,71.426,285,0.703,4,Cherry Hills Country Club
53,0,34360,Patrick Reed,71.426,285,0.703,4,Cherry Hills Country Club
53,-44,29221,Webb Simpson,71.426,285,0.703,4,Cherry Hills Country Club
59,-57,34098,Russell Henley,71.926,287,0.703,4,Cherry Hills Country Club
59,-14,24912,Will MacKenzie,71.926,287,0.703,4,Cherry Hills Country Club
59,5,24781,Hunter Mahan,71.926,287,0.703,4,Cherry Hills Country Club
59,-33,27214,Kevin Streelman,71.926,287,0.703,4,Cherry Hills Country Club
63,-18,25274,Steven Bowditch,72.176,288,0.703,4,Cherry Hills Country Club
63,-28,24357,K.J. Choi,72.176,288,0.703,4,Cherry Hills Country Club
65,4,31202,William McGirt,72.926,291,0.703,4,Cherry Hills Country Club
66,-31,24507,Jason Bohn,73.176,292,0.703,4,Cherry Hills Country Club
