RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL ROUNDS,COURSE
1,48,33141,Keegan Bradley,67.116,260,8.462,4,Aronimink Golf Club
1,1,22405,Justin Rose,67.116,260,8.462,4,Aronimink Golf Club
3,0,29420,Billy Horschel,67.366,261,8.462,4,Aronimink Golf Club
3,46,48081,Xander Schauffele,67.366,261,8.462,4,Aronimink Golf Club
5,7,28237,Rory McIlroy,67.616,262,8.462,4,Aronimink Golf Club
6,43,29221,Webb Simpson,67.866,263,8.462,4,Aronimink Golf Club
6,18,8793,Tiger Woods,67.866,263,8.462,4,Aronimink Golf Club
8,-4,29725,Tony Finau,68.116,264,8.462,4,Aronimink Golf Club
8,16,30911,Tommy Fleetwood,68.116,264,8.462,4,Aronimink Golf Club
8,0,32102,Rickie Fowler,68.116,264,8.462,4,Aronimink Golf Club
8,0,25198,Francesco Molinari,68.116,264,8.462,4,Aronimink Golf Club
12,0,25396,Kevin Na,68.366,265,8.462,4,Aronimink Golf Club
12,12,33448,Justin Thomas,68.366,265,8.462,4,Aronimink Golf Club
12,12,31323,Gary Woodland,68.366,265,8.462,4,Aronimink Golf Club
15,-11,32839,Hideki Matsuyama,68.616,266,8.462,4,Aronimink Golf Club
16,33,34256,Andrew Putnam,68.866,267,8.462,4,Aronimink Golf Club
16,-9,25804,Bubba Watson,68.866,267,8.462,4,Aronimink Golf Club
16,53,49964,Aaron Wise,68.866,267,8.462,4,Aronimink Golf Club
19,-18,47959,Bryson DeChambeau,69.116,268,8.462,4,Aronimink Golf Club
19,2,33399,Adam Hadwin,69.116,268,8.462,4,Aronimink Golf Club
19,-7,36689,Brooks Koepka,69.116,268,8.462,4,Aronimink Golf Club
19,5,30944,Jason Kokrak,69.116,268,8.462,4,Aronimink Golf Club
19,16,34360,Patrick Reed,69.116,268,8.462,4,Aronimink Golf Club
24,0,28089,Jason Day,69.366,269,8.462,4,Aronimink Golf Club
24,34,21961,Charles Howell III,69.366,269,8.462,4,Aronimink Golf Club
24,-17,30925,Dustin Johnson,69.366,269,8.462,4,Aronimink Golf Club
24,19,27349,Alex Noren,69.366,269,8.462,4,Aronimink Golf Club
24,19,46970,Jon Rahm,69.366,269,8.462,4,Aronimink Golf Club
29,2,33948,Byeong Hun An,69.616,270,8.462,4,Aronimink Golf Club
29,33,46435,Austin Cook,69.616,270,8.462,4,Aronimink Golf Club
29,-17,34363,Tyrrell Hatton,69.616,270,8.462,4,Aronimink Golf Club
29,40,21528,Henrik Stenson,69.616,270,8.462,4,Aronimink Golf Club
33,2,35461,Beau Hossler,69.866,271,8.462,4,Aronimink Golf Club
33,0,24024,Zach Johnson,69.866,271,8.462,4,Aronimink Golf Club
35,-23,29535,Brice Garnett,70.116,272,8.462,4,Aronimink Golf Club
35,23,33410,Andrew Landry,70.116,272,8.462,4,Aronimink Golf Club
35,31,27556,Ted Potter Jr.,70.116,272,8.462,4,Aronimink Golf Club
38,-34,29908,C.T. Pan,70.366,273,8.462,4,Aronimink Golf Club
38,0,26476,Chez Reavie,70.366,273,8.462,4,Aronimink Golf Club
38,-26,29484,Peter Uihlein,70.366,273,8.462,4,Aronimink Golf Club
41,-34,26499,Rafa Cabrera Bello,70.616,274,8.462,4,Aronimink Golf Club
41,-6,37455,Si Woo Kim,70.616,274,8.462,4,Aronimink Golf Club
41,-6,30926,Chris Kirk,70.616,274,8.462,4,Aronimink Golf Club
41,-20,26851,Marc Leishman,70.616,274,8.462,4,Aronimink Golf Club
45,17,19846,Brian Gay,70.866,275,8.462,4,Aronimink Golf Club
45,0,27129,Luke List,70.866,275,8.462,4,Aronimink Golf Club
45,-25,39546,Keith Mitchell,70.866,275,8.462,4,Aronimink Golf Club
45,0,25818,Scott Piercy,70.866,275,8.462,4,Aronimink Golf Club
45,21,39324,J.J. Spaun,70.866,275,8.462,4,Aronimink Golf Club
45,-33,30110,Kyle Stanley,70.866,275,8.462,4,Aronimink Golf Club
51,-44,45526,Abraham Ancer,71.116,276,8.462,4,Aronimink Golf Club
51,-16,19803,Ryan Armour,71.116,276,8.462,4,Aronimink Golf Club
51,0,24138,Ian Poulter,71.116,276,8.462,4,Aronimink Golf Club
51,-2,24502,Adam Scott,71.116,276,8.462,4,Aronimink Golf Club
55,-31,35450,Patrick Cantlay,71.366,277,8.462,4,Aronimink Golf Club
55,0,24361,Pat Perez,71.366,277,8.462,4,Aronimink Golf Club
55,-43,34046,Jordan Spieth,71.366,277,8.462,4,Aronimink Golf Club
58,-34,29478,Kevin Kisner,71.616,278,8.462,4,Aronimink Golf Club
58,-46,1810,Phil Mickelson,71.616,278,8.462,4,Aronimink Golf Club
58,-27,26329,Louis Oosthuizen,71.616,278,8.462,4,Aronimink Golf Club
61,-54,31646,Emiliano Grillo,71.866,279,8.462,4,Aronimink Golf Club
61,0,34563,Chesson Hadley,71.866,279,8.462,4,Aronimink Golf Club
61,10,32757,Patton Kizzire,71.866,279,8.462,4,Aronimink Golf Club
64,0,29518,Brendan Steele,72.116,280,8.462,4,Aronimink Golf Club
65,0,23320,Ryan Palmer,72.616,282,8.462,4,Aronimink Golf Club
65,-62,35891,Cameron Smith,72.616,282,8.462,4,Aronimink Golf Club
67,-36,27649,Brandt Snedeker,72.866,283,8.462,4,Aronimink Golf Club
68,-19,27644,Brian Harman,75.116,292,8.462,4,Aronimink Golf Club
