RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL ROUNDS,COURSE
1,0,30925,Dustin Johnson,67.186,276,-7.256,4,Olympia Fields Country Club
1,5,46970,Jon Rahm,67.186,276,-7.256,4,Olympia Fields Country Club
3,26,32839,Hideki Matsuyama,67.686,278,-7.256,4,Olympia Fields Country Club
3,0,45486,Joaquin Niemann,67.686,278,-7.256,4,Olympia Fields Country Club
5,0,29725,Tony Finau,67.936,279,-7.256,4,Olympia Fields Country Club
6,0,40098,Matt Fitzpatrick,68.186,280,-7.256,4,Olympia Fields Country Club
6,7,30944,Jason Kokrak,68.186,280,-7.256,4,Olympia Fields Country Club
8,10,48822,Sebastián Muñoz,68.436,281,-7.256,4,Olympia Fields Country Club
8,56,30927,Brendon Todd,68.436,281,-7.256,4,Olympia Fields Country Club
10,48,35310,Lanto Griffin,68.686,282,-7.256,4,Olympia Fields Country Club
10,3,35506,Mackenzie Hughes,68.686,282,-7.256,4,Olympia Fields Country Club
12,0,33948,Byeong Hun An,68.936,283,-7.256,4,Olympia Fields Country Club
12,0,35450,Patrick Cantlay,68.936,283,-7.256,4,Olympia Fields Country Club
12,-1,27644,Brian Harman,68.936,283,-7.256,4,Olympia Fields Country Club
12,53,28237,Rory McIlroy,68.936,283,-7.256,4,Olympia Fields Country Club
16,33,25364,Paul Casey,69.186,284,-7.256,4,Olympia Fields Country Club
16,9,34363,Tyrrell Hatton,69.186,284,-7.256,4,Olympia Fields Country Club
16,2,25804,Bubba Watson,69.186,284,-7.256,4,Olympia Fields Country Club
16,28,56278,Matthew Wolff,69.186,284,-7.256,4,Olympia Fields Country Club
20,0,34076,Joel Dahmen,69.436,285,-7.256,4,Olympia Fields Country Club
20,0,50525,Collin Morikawa,69.436,285,-7.256,4,Olympia Fields Country Club
20,-16,46046,Scottie Scheffler,69.436,285,-7.256,4,Olympia Fields Country Club
20,-2,35891,Cameron Smith,69.436,285,-7.256,4,Olympia Fields Country Club
20,48,47128,Richy Werenski,69.436,285,-7.256,4,Olympia Fields Country Club
25,-22,40026,Daniel Berger,69.686,286,-7.256,4,Olympia Fields Country Club
25,-17,34098,Russell Henley,69.686,286,-7.256,4,Olympia Fields Country Club
25,-21,29478,Kevin Kisner,69.686,286,-7.256,4,Olympia Fields Country Club
25,-12,26329,Louis Oosthuizen,69.686,286,-7.256,4,Olympia Fields Country Club
25,0,33667,Carlos Ortiz,69.686,286,-7.256,4,Olympia Fields Country Club
25,0,48081,Xander Schauffele,69.686,286,-7.256,4,Olympia Fields Country Club
25,33,24502,Adam Scott,69.686,286,-7.256,4,Olympia Fields Country Club
