RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL ROUNDS,COURSE
1,0,28089,Jason Day,67.010,262,6.039,4,Conway Farms
2,0,40026,Daniel Berger,68.510,268,6.039,4,Conway Farms
3,0,25818,Scott Piercy,68.760,269,6.039,4,Conway Farms
4,0,32102,Rickie Fowler,69.010,270,6.039,4,Conway Farms
4,0,27141,J.B. Holmes,69.010,270,6.039,4,Conway Farms
4,0,28237,Rory McIlroy,69.010,270,6.039,4,Conway Farms
7,0,30925,Dustin Johnson,69.260,271,6.039,4,Conway Farms
7,0,32839,Hideki Matsuyama,69.260,271,6.039,4,Conway Farms
7,0,33419,Cameron Tringale,69.260,271,6.039,4,Conway Farms
10,0,25396,Kevin Na,69.510,272,6.039,4,Conway Farms
10,0,21528,Henrik Stenson,69.510,272,6.039,4,Conway Farms
10,0,25804,Bubba Watson,69.510,272,6.039,4,Conway Farms
13,0,24024,Zach Johnson,69.760,273,6.039,4,Conway Farms
13,0,24490,George McNeill,69.760,273,6.039,4,Conway Farms
13,0,22405,Justin Rose,69.760,273,6.039,4,Conway Farms
13,0,34046,Jordan Spieth,69.760,273,6.039,4,Conway Farms
13,0,29518,Brendan Steele,69.760,273,6.039,4,Conway Farms
13,0,33448,Justin Thomas,69.760,273,6.039,4,Conway Farms
19,0,34099,Harris English,70.010,274,6.039,4,Conway Farms
19,0,24924,Bill Haas,70.010,274,6.039,4,Conway Farms
19,0,26329,Louis Oosthuizen,70.010,274,6.039,4,Conway Farms
19,0,27095,Nick Watney,70.010,274,6.039,4,Conway Farms
23,0,25364,Paul Casey,70.260,275,6.039,4,Conway Farms
23,0,32366,Kevin Chappell,70.260,275,6.039,4,Conway Farms
23,0,23320,Ryan Palmer,70.260,275,6.039,4,Conway Farms
23,0,34431,Robert Streb,70.260,275,6.039,4,Conway Farms
23,0,30927,Brendon Todd,70.260,275,6.039,4,Conway Farms
28,0,33141,Keegan Bradley,70.510,276,6.039,4,Conway Farms
28,0,26758,David Hearn,70.510,276,6.039,4,Conway Farms
28,0,26596,Ryan Moore,70.510,276,6.039,4,Conway Farms
28,0,34360,Patrick Reed,70.510,276,6.039,4,Conway Farms
32,0,23638,Brendon de Jonge,70.760,277,6.039,4,Conway Farms
32,0,32448,James Hahn,70.760,277,6.039,4,Conway Farms
32,0,29420,Billy Horschel,70.760,277,6.039,4,Conway Farms
32,0,26300,Matt Jones,70.760,277,6.039,4,Conway Farms
32,0,24781,Hunter Mahan,70.760,277,6.039,4,Conway Farms
32,0,1810,Phil Mickelson,70.760,277,6.039,4,Conway Farms
32,0,25632,Jimmy Walker,70.760,277,6.039,4,Conway Farms
39,0,21209,Sergio Garcia,71.010,278,6.039,4,Conway Farms
39,0,28679,Fabián Gómez,71.010,278,6.039,4,Conway Farms
41,0,25274,Steven Bowditch,71.260,279,6.039,4,Conway Farms
41,0,29478,Kevin Kisner,71.260,279,6.039,4,Conway Farms
41,0,23108,Matt Kuchar,71.260,279,6.039,4,Conway Farms
41,0,25834,Daniel Summerhays,71.260,279,6.039,4,Conway Farms
45,0,33122,Russell Knox,71.510,280,6.039,4,Conway Farms
45,0,24361,Pat Perez,71.510,280,6.039,4,Conway Farms
47,0,29725,Tony Finau,71.760,281,6.039,4,Conway Farms
47,0,29926,Danny Lee,71.760,281,6.039,4,Conway Farms
49,0,34098,Russell Henley,72.010,282,6.039,4,Conway Farms
49,0,36689,Brooks Koepka,72.010,282,6.039,4,Conway Farms
49,0,34409,David Lingmerth,72.010,282,6.039,4,Conway Farms
49,0,31202,William McGirt,72.010,282,6.039,4,Conway Farms
53,0,28259,Sangmoon Bae,72.260,283,6.039,4,Conway Farms
53,0,40058,Zac Blair,72.260,283,6.039,4,Conway Farms
53,0,27644,Brian Harman,72.260,283,6.039,4,Conway Farms
53,0,12716,Charley Hoffman,72.260,283,6.039,4,Conway Farms
53,0,24140,Sean O'Hair,72.260,283,6.039,4,Conway Farms
53,0,24138,Ian Poulter,72.260,283,6.039,4,Conway Farms
59,0,33418,Shawn Stefani,72.510,284,6.039,4,Conway Farms
60,0,30926,Chris Kirk,72.760,285,6.039,4,Conway Farms
60,0,31323,Gary Woodland,72.760,285,6.039,4,Conway Farms
62,0,8075,Jerry Kelly,73.010,286,6.039,4,Conway Farms
62,0,32640,Troy Merritt,73.010,286,6.039,4,Conway Farms
64,0,24507,Jason Bohn,73.260,287,6.039,4,Conway Farms
64,0,29221,Webb Simpson,73.260,287,6.039,4,Conway Farms
66,0,27649,Brandt Snedeker,73.760,289,6.039,4,Conway Farms
67,0,23621,Rory Sabbatini,74.010,290,6.039,4,Conway Farms
68,0,33413,Ben Martin,75.260,295,6.039,4,Conway Farms
68,0,23800,Bryce Molder,75.260,295,6.039,4,Conway Farms
