RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL ROUNDS,COURSE
1,12,46717,Viktor Hovland,66.387,263,2.548,4,Olympia Fields Country Club
2,64,40098,Matt Fitzpatrick,66.887,265,2.548,4,Olympia Fields Country Club
2,29,46046,Scottie Scheffler,66.887,265,2.548,4,Olympia Fields Country Club
4,-1,28237,Rory McIlroy,67.637,268,2.548,4,Olympia Fields Country Club
5,26,27644,Brian Harman,67.887,269,2.548,4,Olympia Fields Country Club
5,1,39977,Max Homa,67.887,269,2.548,4,Olympia Fields Country Club
7,-1,39971,Sungjae Im,68.137,270,2.548,4,Olympia Fields Country Club
8,-2,34098,Russell Henley,68.387,271,2.548,4,Olympia Fields Country Club
8,16,48081,Xander Schauffele,68.387,271,2.548,4,Olympia Fields Country Club
10,-4,39997,Corey Conners,68.887,273,2.548,4,Olympia Fields Country Club
10,42,34099,Harris English,68.887,273,2.548,4,Olympia Fields Country Club
10,14,55182,Tom Kim,68.887,273,2.548,4,Olympia Fields Country Club
10,56,47993,Denny McCarthy,68.887,273,2.548,4,Olympia Fields Country Club
10,14,34256,Andrew Putnam,68.887,273,2.548,4,Olympia Fields Country Club
15,37,47504,Sam Burns,69.137,274,2.548,4,Olympia Fields Country Club
15,-14,35450,Patrick Cantlay,69.137,274,2.548,4,Olympia Fields Country Club
15,51,51766,Wyndham Clark,69.137,274,2.548,4,Olympia Fields Country Club
15,22,40115,Adam Svensson,69.137,274,2.548,4,Olympia Fields Country Club
15,-2,51634,Sahith Theegala,69.137,274,2.548,4,Olympia Fields Country Club
15,16,57366,Cameron Young,69.137,274,2.548,4,Olympia Fields Country Club
21,22,35532,Tom Hoge,69.387,275,2.548,4,Olympia Fields Country Club
22,-21,25900,Lucas Glover,69.637,276,2.548,4,Olympia Fields Country Club
22,2,49771,J.T. Poston,69.637,276,2.548,4,Olympia Fields Country Club
22,-2,22405,Justin Rose,69.637,276,2.548,4,Olympia Fields Country Club
25,6,47591,Eric Cole,69.887,277,2.548,4,Olympia Fields Country Club
25,-22,30911,Tommy Fleetwood,69.887,277,2.548,4,Olympia Fields Country Club
25,33,32102,Rickie Fowler,69.887,277,2.548,4,Olympia Fields Country Club
25,-12,50525,Collin Morikawa,69.887,277,2.548,4,Olympia Fields Country Club
29,14,33141,Keegan Bradley,70.137,278,2.548,4,Olympia Fields Country Club
29,-13,30926,Chris Kirk,70.137,278,2.548,4,Olympia Fields Country Club
31,-11,31646,Emiliano Grillo,70.637,280,2.548,4,Olympia Fields Country Club
31,-15,37455,Si Woo Kim,70.637,280,2.548,4,Olympia Fields Country Club
31,6,46970,Jon Rahm,70.637,280,2.548,4,Olympia Fields Country Club
34,9,34363,Tyrrell Hatton,70.887,281,2.548,4,Olympia Fields Country Club
34,-28,47347,Adam Schenk,70.887,281,2.548,4,Olympia Fields Country Club
34,-28,34046,Jordan Spieth,70.887,281,2.548,4,Olympia Fields Country Club
37,27,29725,Tony Finau,71.137,282,2.548,4,Olympia Fields Country Club
37,15,36699,Patrick Rodgers,71.137,282,2.548,4,Olympia Fields Country Club
37,26,49960,Sepp Straka,71.137,282,2.548,4,Olympia Fields Country Club
40,-34,45157,Cam Davis,71.387,283,2.548,4,Olympia Fields Country Club
41,11,48117,Kurt Kitayama,71.637,284,2.548,4,Olympia Fields Country Club
41,2,30927,Brendon Todd,71.637,284,2.548,4,Olympia Fields Country Club
43,-6,33948,Byeong Hun An,71.887,285,2.548,4,Olympia Fields Country Club
44,-28,33399,Adam Hadwin,72.137,286,2.548,4,Olympia Fields Country Club
45,7,28089,Jason Day,72.387,287,2.548,4,Olympia Fields Country Club
45,-14,54628,Lee Hodges,72.387,287,2.548,4,Olympia Fields Country Club
47,-23,25493,Nick Taylor,73.137,290,2.548,4,Olympia Fields Country Club
48,18,28252,Seamus Power,74.137,294,2.548,4,Olympia Fields Country Club
49,-44,49947,Taylor Moore,75.137,298,2.548,4,Olympia Fields Country Club
